country;year;category;group;subgroup;consumption
Cyprus;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;52
Cyprus;2014;Non-Animal;Fruit and Vegetables ;;197
Cyprus;2014;Non-Animal;Oils & Fats ;;482
Cyprus;2014;Animal;Meat ;;383
Cyprus;2014;Animal;Dairy & Eggs ;;298
Cyprus;2014;Non-Animal;Alcoholic Beverages ;;99
Cyprus;2014;Non-Animal;Carbohydrates;Sugar ;343
Cyprus;2015;Non-Animal;Alcoholic Beverages ;;90
Cyprus;2015;Non-Animal;Fruit and Vegetables ;;214
Cyprus;2015;Non-Animal;Carbohydrates;Cereals and Grains ;559
Cyprus;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;48
Cyprus;2015;Animal;Dairy & Eggs ;;285
Cyprus;2015;Non-Animal;Carbohydrates;Sugar ;300
Cyprus;2015;Non-Animal;Oils & Fats ;;549
Cyprus;2015;Animal;Meat ;;377
Cyprus;2016;Animal;Dairy & Eggs ;;284
Cyprus;2016;Non-Animal;Fruit and Vegetables ;;220
Cyprus;2016;Non-Animal;Carbohydrates;Cereals and Grains ;641
Cyprus;2016;Animal;Meat ;;384
Cyprus;2016;Non-Animal;Alcoholic Beverages ;;95
Cyprus;2016;Non-Animal;Carbohydrates;Sugar ;322
Cyprus;2016;Non-Animal;Oils & Fats ;;497
Cyprus;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;52
Cyprus;2017;Non-Animal;Carbohydrates;Cereals and Grains ;672
Cyprus;2017;Non-Animal;Carbohydrates;Starchy Roots and pulses ;50,5
Cyprus;2017;Animal;Meat ;;375
Cyprus;2017;Animal;Dairy & Eggs ;;304
Cyprus;2017;Non-Animal;Fruit and Vegetables ;;188
Cyprus;2017;Non-Animal;Oils & Fats ;;508
Cyprus;2017;Non-Animal;Alcoholic Beverages ;;101
Cyprus;2017;Non-Animal;Carbohydrates;Sugar ;307
Cyprus;2018;Non-Animal;Oils & Fats ;;546
Cyprus;2018;Animal;Meat ;;369
Cyprus;2018;Animal;Dairy & Eggs ;;283
Cyprus;2018;Non-Animal;Carbohydrates;Sugar ;292
Cyprus;2018;Non-Animal;Alcoholic Beverages ;;94
Cyprus;2018;Non-Animal;Fruit and Vegetables ;;191
Cyprus;2018;Non-Animal;Carbohydrates;Cereals and Grains ;665
Cyprus;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;44
Cyprus;2019;Non-Animal;Carbohydrates;Sugar ;283
Cyprus;2019;Non-Animal;Oils & Fats ;;516
Cyprus;2019;Animal;Meat ;;367
Cyprus;2019;Non-Animal;Alcoholic Beverages ;;96
Cyprus;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;45,5
Cyprus;2019;Animal;Dairy & Eggs ;;285
Cyprus;2019;Non-Animal;Fruit and Vegetables ;;193
Cyprus;2019;Non-Animal;Carbohydrates;Cereals and Grains ;724
Cyprus;2020;Non-Animal;Alcoholic Beverages ;;96
Cyprus;2020;Non-Animal;Carbohydrates;Sugar ;284
Cyprus;2020;Non-Animal;Oils & Fats ;;558
Cyprus;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;43
Cyprus;2020;Non-Animal;Carbohydrates;Cereals and Grains ;669
Cyprus;2020;Animal;Meat ;;374
Cyprus;2020;Animal;Dairy & Eggs ;;312
Cyprus;2020;Non-Animal;Fruit and Vegetables ;;194
Cyprus;2021;Non-Animal;Carbohydrates;Cereals and Grains ;733
Cyprus;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;41,5
Cyprus;2021;Non-Animal;Fruit and Vegetables ;;163
Cyprus;2021;Non-Animal;Oils & Fats ;;520
Cyprus;2021;Animal;Meat ;;380
Cyprus;2021;Animal;Dairy & Eggs ;;290
Cyprus;2021;Non-Animal;Alcoholic Beverages ;;97
Cyprus;2021;Non-Animal;Carbohydrates;Sugar ;267
Cyprus;2022;Non-Animal;Alcoholic Beverages ;;95
Cyprus;2022;Non-Animal;Fruit and Vegetables ;;153
Cyprus;2022;Non-Animal;Carbohydrates;Cereals and Grains ;756
Cyprus;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;41,5
Cyprus;2022;Animal;Dairy & Eggs ;;263
Cyprus;2022;Non-Animal;Carbohydrates;Sugar ;312
Cyprus;2022;Non-Animal;Oils & Fats ;;532
Cyprus;2022;Animal;Meat ;;358
Czechia;2014;Non-Animal;Carbohydrates;Cereals and Grains ;978
Czechia;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;84,5
Czechia;2014;Non-Animal;Fruit and Vegetables ;;128
Czechia;2014;Non-Animal;Oils & Fats ;;649
Czechia;2014;Animal;Meat ;;366
Czechia;2014;Animal;Dairy & Eggs ;;350
Czechia;2014;Non-Animal;Alcoholic Beverages ;;284
Czechia;2014;Non-Animal;Carbohydrates;Sugar ;334
Czechia;2015;Non-Animal;Alcoholic Beverages ;;300
Czechia;2015;Non-Animal;Fruit and Vegetables ;;125
Czechia;2015;Non-Animal;Carbohydrates;Cereals and Grains ;930
Czechia;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;70
Czechia;2015;Animal;Dairy & Eggs ;;330
Czechia;2015;Non-Animal;Carbohydrates;Sugar ;281
Czechia;2015;Non-Animal;Oils & Fats ;;747
Czechia;2015;Animal;Meat ;;355
Czechia;2016;Animal;Dairy & Eggs ;;331
Czechia;2016;Non-Animal;Fruit and Vegetables ;;131
Czechia;2016;Non-Animal;Carbohydrates;Cereals and Grains ;909
Czechia;2016;Animal;Meat ;;358
Czechia;2016;Non-Animal;Alcoholic Beverages ;;281
Czechia;2016;Non-Animal;Carbohydrates;Sugar ;319
Czechia;2016;Non-Animal;Oils & Fats ;;721
Czechia;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;73,5
Czechia;2017;Non-Animal;Carbohydrates;Cereals and Grains ;878
Czechia;2017;Non-Animal;Carbohydrates;Starchy Roots and pulses ;74,5
Czechia;2017;Animal;Meat ;;351
Czechia;2017;Animal;Dairy & Eggs ;;320
Czechia;2017;Non-Animal;Fruit and Vegetables ;;142
Czechia;2017;Non-Animal;Oils & Fats ;;757
Czechia;2017;Non-Animal;Alcoholic Beverages ;;288
Czechia;2017;Non-Animal;Carbohydrates;Sugar ;314
Czechia;2018;Non-Animal;Oils & Fats ;;745
Czechia;2018;Animal;Meat ;;349
Czechia;2018;Animal;Dairy & Eggs ;;312
Czechia;2018;Non-Animal;Carbohydrates;Sugar ;359
Czechia;2018;Non-Animal;Alcoholic Beverages ;;283
Czechia;2018;Non-Animal;Fruit and Vegetables ;;131
Czechia;2018;Non-Animal;Carbohydrates;Cereals and Grains ;875
Czechia;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;77
Czechia;2019;Non-Animal;Carbohydrates;Sugar ;375
Czechia;2019;Non-Animal;Oils & Fats ;;777
Czechia;2019;Animal;Meat ;;347
Czechia;2019;Non-Animal;Alcoholic Beverages ;;247
Czechia;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;78,5
Czechia;2019;Animal;Dairy & Eggs ;;323
Czechia;2019;Non-Animal;Fruit and Vegetables ;;123
Czechia;2019;Non-Animal;Carbohydrates;Cereals and Grains ;878
Czechia;2020;Non-Animal;Alcoholic Beverages ;;260
Czechia;2020;Non-Animal;Carbohydrates;Sugar ;367
Czechia;2020;Non-Animal;Oils & Fats ;;728
Czechia;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;81
Czechia;2020;Non-Animal;Carbohydrates;Cereals and Grains ;910
Czechia;2020;Animal;Meat ;;336
Czechia;2020;Animal;Dairy & Eggs ;;307
Czechia;2020;Non-Animal;Fruit and Vegetables ;;127
Czechia;2021;Non-Animal;Carbohydrates;Cereals and Grains ;855
Czechia;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;73,5
Czechia;2021;Non-Animal;Fruit and Vegetables ;;111
Czechia;2021;Non-Animal;Oils & Fats ;;776
Czechia;2021;Animal;Meat ;;316
Czechia;2021;Animal;Dairy & Eggs ;;325
Czechia;2021;Non-Animal;Alcoholic Beverages ;;256
Czechia;2021;Non-Animal;Carbohydrates;Sugar ;397
Czechia;2022;Non-Animal;Alcoholic Beverages ;;253
Czechia;2022;Non-Animal;Fruit and Vegetables ;;125
Czechia;2022;Non-Animal;Carbohydrates;Cereals and Grains ;861
Czechia;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;76,5
Czechia;2022;Animal;Dairy & Eggs ;;323
Czechia;2022;Non-Animal;Carbohydrates;Sugar ;389
Czechia;2022;Non-Animal;Oils & Fats ;;786
Czechia;2022;Animal;Meat ;;306
Denmark;2014;Non-Animal;Carbohydrates;Cereals and Grains ;844
Denmark;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;71,5
Denmark;2014;Non-Animal;Fruit and Vegetables ;;201
Denmark;2014;Non-Animal;Oils & Fats ;;636
Denmark;2014;Animal;Meat ;;435
Denmark;2014;Animal;Dairy & Eggs ;;405
Denmark;2014;Non-Animal;Alcoholic Beverages ;;212
Denmark;2014;Non-Animal;Carbohydrates;Sugar ;438
Denmark;2015;Non-Animal;Alcoholic Beverages ;;204
Denmark;2015;Non-Animal;Fruit and Vegetables ;;203
Denmark;2015;Non-Animal;Carbohydrates;Cereals and Grains ;869
Denmark;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;76
Denmark;2015;Animal;Dairy & Eggs ;;409
Denmark;2015;Non-Animal;Carbohydrates;Sugar ;472
Denmark;2015;Non-Animal;Oils & Fats ;;606
Denmark;2015;Animal;Meat ;;387
Denmark;2016;Animal;Dairy & Eggs ;;355
Denmark;2016;Non-Animal;Fruit and Vegetables ;;194
Denmark;2016;Non-Animal;Carbohydrates;Cereals and Grains ;853
Denmark;2016;Animal;Meat ;;457
Denmark;2016;Non-Animal;Alcoholic Beverages ;;203
Denmark;2016;Non-Animal;Carbohydrates;Sugar ;553
Denmark;2016;Non-Animal;Oils & Fats ;;592
Denmark;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;75
Denmark;2017;Non-Animal;Carbohydrates;Cereals and Grains ;858
Denmark;2017;Non-Animal;Carbohydrates;Starchy Roots and pulses ;71,5
Denmark;2017;Animal;Meat ;;380
Denmark;2017;Animal;Dairy & Eggs ;;406
Denmark;2017;Non-Animal;Fruit and Vegetables ;;197
Denmark;2017;Non-Animal;Oils & Fats ;;590
